Account name,Date,Transaction type,Transaction number,Name,Description,Full name,Account name,Amount line,Balance
PayPal Bank 3,11/27/2023,Deposit,3SS47357LG849521R,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 3SS47357LG849521Rhttps://www.paypal.com/activity/payment/3SS47357LG849521R,PayPal Bank 3,--,$984.68,"$2,208.36"
Donations directed by individuals,11/27/2023,Deposit,3SS47357LG849521R,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,"$1,020.80","$3,229.16"
PayPal Fees,11/27/2023,Deposit,3SS47357LG849521R,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$36.12,"$3,265.28"
PayPal Bank 3,11/26/2023,Deposit,31N6868047777882E,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 31N6868047777882Ehttps://www.paypal.com/activity/payment/31N6868047777882E,PayPal Bank 3,--,$96.02,"$3,361.30"
Donations directed by individuals,11/26/2023,Deposit,31N6868047777882E,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$3,461.30"
PayPal Fees,11/26/2023,Deposit,31N6868047777882E,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.98,"$3,465.28"
PayPal Bank 3,11/26/2023,Deposit,3FW60130UA040601L,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 3FW60130UA040601Lhttps://www.paypal.com/activity/payment/3FW60130UA040601L,PayPal Bank 3,--,$196.93,"$3,662.21"
Donations directed by individuals,11/26/2023,Deposit,3FW60130UA040601L,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$204.56,"$3,866.77"
PayPal Fees,11/26/2023,Deposit,3FW60130UA040601L,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$7.63,"$3,874.40"
PayPal Bank 3,11/26/2023,Deposit,6EF80245SG352483H,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 6EF80245SG352483Hhttps://www.paypal.com/activity/payment/6EF80245SG352483H,PayPal Bank 3,--,$28.91,"$3,903.31"
